scope,controller,condition,contrast,metric,n_scene_blocks,n_available,n_missing_or_censored,mean,sample_sd,median,minimum,maximum,bootstrap_mean_ci95_lower,bootstrap_mean_ci95_upper,inference_label
paired_effect,,,interaction__maximum_follower_speed_loss_mps,interaction__maximum_follower_speed_loss_mps,5,5,0,-1.5259102134734804e-06,2.0894264676111294e-06,-2.660627274053695e-11,-3.814772238541764e-06,0.0,-3.0518151056924124e-06,-5.32125454810739e-12,scene_block_bootstrap_ci
paired_effect,,,interaction__minimum_follower_peak_deceleration_mps2,interaction__minimum_follower_peak_deceleration_mps2,5,5,0,7.627711101143575e-06,1.706077126138408e-05,0.0,-8.39033464927752e-09,3.814694584036715e-05,-5.034200789566512e-09,2.288816750422029e-05,scene_block_bootstrap_ci
paired_effect,,,interaction__minimum_oriented_box_clearance_m,interaction__minimum_oriented_box_clearance_m,5,5,0,0.9493124777914842,0.3942408920387122,1.107438808306434,0.31783650241340033,1.2534651889781008,0.6054887206014751,1.2218150302406918,scene_block_bootstrap_ci
paired_effect,,,interaction__near_collision_incidence,interaction__near_collision_incidence,5,5,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,scene_block_bootstrap_ci
paired_effect,,,interaction__physics_control_loop_deadline_miss_fraction,interaction__physics_control_loop_deadline_miss_fraction,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,interaction__physics_control_loop_maximum_cycle_time_s,interaction__physics_control_loop_maximum_cycle_time_s,5,5,0,-0.00017070000000103392,0.004936259689785218,-0.00014290000000194425,-0.006434200000001056,0.0058211999999979724,-0.003957500000000991,0.003616099999998923,scene_block_bootstrap_ci
paired_effect,,,interaction__physics_control_loop_mean_cycle_time_s,interaction__physics_control_loop_mean_cycle_time_s,5,5,0,-0.00029837866666663425,0.00034476002077983835,-0.0005297383333334356,-0.0005470025000002977,0.00020373416666713204,-0.0005413633333333903,-1.5368333330347677e-06,scene_block_bootstrap_ci
paired_effect,,,interaction__physics_control_loop_p95_cycle_time_s,interaction__physics_control_loop_p95_cycle_time_s,5,5,0,-0.0009316249999987754,0.0011039514754217345,-0.0005539049999976359,-0.0025970999999990405,0.00029925499999760956,-0.0019195349999983863,-0.00016438099999938234,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_completed_requests,interaction__planner_completed_requests,5,5,0,-2.4,0.8944271909999159,-3.0,-3.0,-1.0,-3.0,-1.6,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_dropped_request_fraction,interaction__planner_dropped_request_fraction,5,5,0,0.04338983050847465,0.01468464725314874,0.0505649717514125,0.02005649717514124,0.05480225988700571,0.030564971751412463,0.053502824858757146,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_dropped_requests,interaction__planner_dropped_requests,5,5,0,3.2,0.8366600265340756,3.0,2.0,4.0,2.6,3.8,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_maximum_total_s,interaction__planner_maximum_total_s,5,5,0,0.13115098000000006,0.30395403989187575,0.002880400000000116,-0.0635637,0.6702742,-0.028101299999999975,0.4025125600000001,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_mean_total_s,interaction__planner_mean_total_s,5,5,0,0.1037371536020647,0.031057202899021707,0.10576958476190484,0.06236674718614743,0.14704984344322347,0.07917304616017329,0.12749603592545738,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_p95_total_s,interaction__planner_p95_total_s,5,5,0,0.11196505399999986,0.19379375234637816,0.03947448499999984,-0.07303903,0.42837969999999925,-0.01498502900000014,0.2728176139999995,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_simulated_time_effective_rate_hz,interaction__planner_simulated_time_effective_rate_hz,5,5,0,-0.4,0.14907119849998596,-0.4999999999999998,-0.5000000000000002,-0.16666666666666674,-0.5,-0.2666666666666667,scene_block_bootstrap_ci
paired_effect,,,interaction__planner_wall_clock_effective_rate_hz,interaction__planner_wall_clock_effective_rate_hz,5,5,0,-0.3999234205200775,0.1492108940904255,-0.4996270738262323,-0.5006429471371112,-0.16651707581897734,-0.5001526134765397,-0.26647624665499975,scene_block_bootstrap_ci
paired_effect,,,interaction__real_time_factor,interaction__real_time_factor,5,5,0,-1.1038353286974e-06,0.00020994635535952517,4.258674510437821e-05,-0.0003551037656025491,0.00020764324491995279,-0.00019319133957458324,0.00014162064499372294,scene_block_bootstrap_ci
paired_effect,,,interaction__traffic_hard_braking_actor_count,interaction__traffic_hard_braking_actor_count,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,interaction__traffic_maximum_follower_disturbance_amplification,interaction__traffic_maximum_follower_disturbance_amplification,5,5,0,0.1581050856482739,0.21658535699639003,0.0,-9.612759675370341e-06,0.4037392571973515,-7.253409925311871e-06,0.3196027110791496,scene_block_bootstrap_ci
paired_effect,,,interaction__traffic_maximum_speed_loss_mps,interaction__traffic_maximum_speed_loss_mps,5,5,0,-7.629544477083528e-07,1.7060180088116854e-06,0.0,-3.814772238541764e-06,0.0,-2.2888633431250584e-06,0.0,scene_block_bootstrap_ci
paired_effect,,,interaction__traffic_peak_deceleration_mps2,interaction__traffic_peak_deceleration_mps2,5,5,0,7.629389168073431e-06,1.705983280661276e-05,0.0,0.0,3.814694584036715e-05,0.0,2.288816750422029e-05,scene_block_bootstrap_ci
paired_effect,,,interaction__traffic_total_integrated_speed_deficit_vehicle_m,interaction__traffic_total_integrated_speed_deficit_vehicle_m,5,5,0,-0.11497039227287473,0.03375524022058818,-0.11363039972786737,-0.15360041459634033,-0.07757009057267794,-0.14171700166597817,-0.08822378287977131,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__collision_incidence,true_threat__dream_minus_ideam__collision_incidence,5,5,0,-0.4,0.5477225575051661,0.0,-1.0,0.0,-0.8,0.0,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__ego_maximum_speed_loss_mps,true_threat__dream_minus_ideam__ego_maximum_speed_loss_mps,5,5,0,-5.181705069687238,4.151967037096472,-7.6601932420733725,-8.608021163020283,-0.6087104556120764,-8.311891027934077,-2.051519111440397,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__ego_mean_speed_mps,true_threat__dream_minus_ideam__ego_mean_speed_mps,5,5,0,0.5193898798812725,0.6721962182948727,0.6432977710278998,-0.22274127927037313,1.3611112659212878,0.0010637002032233057,1.0377160595593218,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__ego_minimum_speed_mps,true_threat__dream_minus_ideam__ego_minimum_speed_mps,5,5,0,5.181705069945322,4.15196703712504,7.6601932420733725,0.6087104561093781,8.608021163930282,2.0515191116393177,8.311891028251328,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__ego_peak_deceleration_mps2,true_threat__dream_minus_ideam__ego_peak_deceleration_mps2,5,5,0,6.077920278510987,1.1954426097742135,6.260774311832478,4.630704339186451,7.248078544790388,5.133517412235534,7.022323144786441,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__low_level_deadline_miss_fraction,true_threat__dream_minus_ideam__low_level_deadline_miss_fraction,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__low_level_maximum_time_s,true_threat__dream_minus_ideam__low_level_maximum_time_s,5,5,0,-0.00021607999999950778,0.0005085876394483975,-1.6800000000927184e-05,-0.0008865999999976282,0.0002272999999988201,-0.0006128199999981376,0.00017364000000057444,scene_block_bootstrap_ci
paired_effect,,,true_threat__dream_minus_ideam__low_level_mean_time_s,true_threat__dream_minus_ideam__low_level_mean_time_s,5,5,0,-3.669600000037573e-05,4.499705117791761e-05,-2.5565000000208563e-05,-8.679000000035107e-05,2.4398333332846045e-05,-7.117866666704366e-05,-3.547000000570649e-06,scene_block_bootstrap_ci
