frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
3767,0.1,empty_shadow,DREAM,rear_centre,125,vehicle.tesla.model3,follower,-5,centre,1,[1],167.96166801171398,-205.2499938594758,16.933716832352204,-0.0732040799448648,occluder,21.09741825005544,16.941121386389018,20.0,1.107499
3767,0.1,empty_shadow,DREAM,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],142.91827944798578,-201.78720823330835,31.285887988350012,0.9602519991195888,ego,34.7517681037063,31.196367943099936,32.0,1.084063
3767,0.1,empty_shadow,DREAM,follower_2,127,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],109.26790470904945,-201.7500579714749,32.39673818294106,1.6458894652408271,follower_1,28.58558878772528,32.14609918540745,32.0,0.932464
3767,0.1,empty_shadow,DREAM,follower_3,128,vehicle.tesla.model3,follower,-4,left,0,[0],71.15971771870147,-201.75017979427557,30.66790199981121,0.2606581158247923,follower_2,32.844284569533684,30.647040698838918,30.752968,0.906909
3767,0.1,empty_shadow,DREAM,follower_4,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],38.21716511920218,-201.75011106594474,31.9638310466258,1.586341973266682,follower_3,27.82727077030043,31.729326606005994,31.897678,0.858423
3768,0.15000000000000002,empty_shadow,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],196.6879896915191,-205.25482733064806,18.463963708014912,0.14301323213136555,lead_centre,114.01468656155622,18.453066356444427,18.217114,0.958619
3768,0.15000000000000002,empty_shadow,DREAM,lead_left,122,vehicle.tesla.model3,leader,-4,left,0,[0],321.20886559368046,-201.75025086188472,22.433402287071473,0.5016707002240689,,,22.421603020059543,23.564469,1.190587
3768,0.15000000000000002,empty_shadow,DREAM,lead_centre,123,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],317.8754341444444,-205.25024382438025,21.58671887582738,0.21591153848302055,,,21.559884451149493,20.669735,1.179302
3768,0.15000000000000002,empty_shadow,DREAM,lead_right,124,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],322.16096050015926,-208.74977388328247,24.478780297929035,0.9550478093671447,,,24.419616440815826,23.668294,0.989086
3768,0.15000000000000002,empty_shadow,DREAM,rear_centre,125,vehicle.tesla.model3,follower,-5,centre,1,[1],168.80834774884949,-205.24999493983475,16.932597215577935,-0.022392335483550088,occluder,21.173345980012332,16.937984764207357,20.0,1.107499
3768,0.15000000000000002,empty_shadow,DREAM,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],144.48364709309482,-201.78398867615854,31.322633069208646,0.7350832655557448,ego,34.81759533834304,31.243754257839395,32.0,1.084063
3768,0.15000000000000002,empty_shadow,DREAM,follower_2,127,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],110.88956313768786,-201.750084592315,32.45747579795318,1.2147523005209788,follower_1,28.53064092851153,32.223789793174625,32.0,0.932464
3768,0.15000000000000002,empty_shadow,DREAM,follower_3,128,vehicle.tesla.model3,follower,-4,left,0,[0],72.69353130381866,-201.75023638253924,30.68146132984151,0.2711866018278784,follower_2,32.929382831183545,30.66097647545637,30.752968,0.906909
